,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,PriceRange,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
249,249,Loetje Centraal,Amsterdam,"['Steakhouse', 'Dutch', 'Bar', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",250,4,$$ - $$$,827,"[['A good touristy steak restaurant', 'Good'], ['11/30/2017', '11/15/2017']]",/Restaurant_Review-g188590-d8009660-Reviews-Loetje_Centraal-Amsterdam_North_Holland_Province.html,d8009660,52.3779,4.90038
250,250,Indrapura,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",251,4,$$ - $$$,1074,"[['The place for ""rice table""', 'Great food and even better lamps'], ['01/06/2018', '12/12/2017']]",/Restaurant_Review-g188590-d1200726-Reviews-Indrapura-Amsterdam_North_Holland_Province.html,d1200726,52.36586,4.89712
251,251,De Duvel,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",252,4.5,$$ - $$$,235,"[['Very good spot either to eat or have a dri...', 'Feel like a local'], ['01/10/2018', '12/16/2017']]",/Restaurant_Review-g188590-d2095858-Reviews-De_Duvel-Amsterdam_North_Holland_Province.html,d2095858,52.35478,4.89348
252,252,Drovers Dog,Amsterdam,"['Bar', 'European', 'Australian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",253,4.5,$$ - $$$,256,"[['Excellent food! Great service!', 'Mixed results'], ['12/26/2017', '12/16/2017']]",/Restaurant_Review-g188590-d6542442-Reviews-Drovers_Dog-Amsterdam_North_Holland_Province.html,d6542442,52.35206,4.9132
253,253,Bake My Day,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",254,4.5,$$ - $$$,183,"[['Amazing Bakery', 'Delicious!'], ['01/08/2018', '12/30/2017']]",/Restaurant_Review-g188590-d8790091-Reviews-Bake_My_Day-Amsterdam_North_Holland_Province.html,d8790091,52.35718,4.89863
254,254,Jaspers,Amsterdam,"['Dutch', 'European', 'French', 'Gluten Free Options']",255,5,$$$$,126,"[['Christmas eve dinner', 'Excellent meal'], ['12/24/2017', '12/02/2017']]",/Restaurant_Review-g188590-d3628712-Reviews-Jaspers-Amsterdam_North_Holland_Province.html,d3628712,52.36431,4.86746
255,255,Klaver 4 ontbijt- en lunchcafe,Amsterdam,"['Dutch', 'Cafe', 'European', 'Gastropub', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",256,4.5,$$ - $$$,140,"[['Great Coffee and Quiche', 'Gorgeous food'], ['12/06/2017', '10/18/2017']]",/Restaurant_Review-g188590-d3397804-Reviews-Klaver_4_ontbijt_en_lunchcafe-Amsterdam_North_Holland_Province.html,d3397804,38.89037,-77.03196
256,256,5&33,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",257,4,$$ - $$$,399,"[['Great Food', 'Pollo Diavolo rather bland'], ['01/06/2018', '10/30/2017']]",/Restaurant_Review-g188590-d4975685-Reviews-5_33-Amsterdam_North_Holland_Province.html,d4975685,52.37806,4.89682
257,257,Little Collins,Amsterdam,"['Australian', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",258,4.5,$$ - $$$,265,"[['Highly recommend!', 'Absolutely amazing food, decent ambience...'], ['12/22/2017', '12/04/2017']]",/Restaurant_Review-g188590-d3175544-Reviews-Little_Collins-Amsterdam_North_Holland_Province.html,d3175544,52.36797,4.87159
258,258,Oresti's Taverna,Amsterdam,"['Mediterranean', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",259,4.5,$$ - $$$,342,"[['Perfect- best place we’ve been in Amsterda...', 'Great Tapas'], ['01/04/2018', '12/22/2017']]",/Restaurant_Review-g188590-d2297611-Reviews-Oresti_s_Taverna-Amsterdam_North_Holland_Province.html,d2297611,52.35612,4.89188
