,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,PriceRange,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
635,635,Libanees Restaurant Cedars,Amsterdam,"['Lebanese', 'Mediterranean', 'Middle Eastern', 'International', 'Grill', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",636,4,$$ - $$$,264,"[['October 2017', 'Nice view and food, but...'], ['10/20/2017', '08/20/2017']]",/Restaurant_Review-g188590-d1063645-Reviews-Libanees_Restaurant_Cedars-Amsterdam_North_Holland_Province.html,d1063645,52.36274,4.88485
636,636,Paloma Blanca,Amsterdam,"['African', 'Moroccan', 'Middle Eastern', 'Mediterranean', 'Halal']",637,4.5,$$ - $$$,105,"[['Wonderful night', 'Amazing Restaurant'], ['01/01/2018', '10/14/2017']]",/Restaurant_Review-g188590-d753212-Reviews-Paloma_Blanca-Amsterdam_North_Holland_Province.html,d753212,52.36132,4.86487
637,637,De Pizzabakkers Overtoom,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",638,4.5,$$ - $$$,115,"[['Fantastic Pizza', 'Lovely Pizza Restaurant'], ['01/03/2018', '12/23/2017']]",/Restaurant_Review-g188590-d4197522-Reviews-De_Pizzabakkers_Overtoom-Amsterdam_North_Holland_Province.html,d4197522,52.35811,4.85703
638,638,Wagamama Max Euweplein,Amsterdam,"['Japanese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",639,3.5,$$ - $$$,327,"[['Light lunch, nice concept, fair price', 'Quick meal, not expensive, colourful, inte...'], ['01/01/2018', '12/18/2017']]",/Restaurant_Review-g188590-d4600749-Reviews-Wagamama_Max_Euweplein-Amsterdam_North_Holland_Province.html,d4600749,52.36245,4.88301
639,639,Semhar,Amsterdam,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options']",640,4.5,$$ - $$$,168,"[['Delicious food and lovely service', 'So glad we tried Semhar'], ['08/17/2017', '06/01/2017']]",/Restaurant_Review-g188590-d788259-Reviews-Semhar-Amsterdam_North_Holland_Province.html,d788259,52.37548,4.87714
640,640,Beulings,Amsterdam,"['French', 'Dutch', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",641,4.5,$$$$,145,"[['Extraordinary and Consistent --like coming...', 'Hugged by the chef'], ['11/19/2017', '10/31/2017']]",/Restaurant_Review-g188590-d753292-Reviews-Beulings-Amsterdam_North_Holland_Province.html,d753292,52.368,4.88759
641,641,Ponte Vecchio,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",642,4,$$ - $$$,246,"[['Good Italian', 'Nice pasta, friendly staff, excellent valu...'], ['11/06/2017', '08/09/2017']]",/Restaurant_Review-g188590-d2462247-Reviews-Ponte_Vecchio-Amsterdam_North_Holland_Province.html,d2462247,52.37496,4.89174
642,642,Cafe De Sluyswacht,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'Pub']",643,4,$,148,"[['Quaint bar', 'Great for a view, beer and lunch'], ['11/26/2017', '09/20/2017']]",/Restaurant_Review-g188590-d1172055-Reviews-Cafe_De_Sluyswacht-Amsterdam_North_Holland_Province.html,d1172055,52.3695,4.90132
643,643,Winebar Boelen & Boelen,Amsterdam,"['French', 'European', 'Wine Bar']",644,4.5,$$ - $$$,92,"[['Fabulous', 'Just another fabulous dinner'], ['08/01/2017', '07/19/2017']]",/Restaurant_Review-g188590-d2702837-Reviews-Winebar_Boelen_Boelen-Amsterdam_North_Holland_Province.html,d2702837,52.35616,4.89256
644,644,t' Blaauwhooft,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",645,4.5,$$ - $$$,81,"[['Neighbourhood Gathering Place', 'Best cheese fondue, saté and hamburgers in...'], ['08/31/2017', '07/21/2017']]",/Restaurant_Review-g188590-d2723604-Reviews-T_Blaauwhooft-Amsterdam_North_Holland_Province.html,d2723604,52.38381,4.88854
645,645,Cafe Smit & Voogt,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'International', 'Vegetarian Friendly']",646,4,$$ - $$$,130,"[['Great Coffee Pit Stop', 'A good find!'], ['11/25/2017', '09/10/2017']]",/Restaurant_Review-g188590-d2324805-Reviews-Cafe_Smit_Voogt-Amsterdam_North_Holland_Province.html,d2324805,52.36736,4.90935
646,646,Cafe Fonteyn,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",647,4.5,$$ - $$$,64,"[['Just a stop', 'Good place to end a Saturday night'], ['11/25/2017', '11/01/2017']]",/Restaurant_Review-g188590-d7112337-Reviews-Cafe_Fonteyn-Amsterdam_North_Holland_Province.html,d7112337,52.37234,4.90058
647,647,Brix,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",648,4,$$ - $$$,218,"[['Great place to party', 'Great art, good food & nice people'], ['12/20/2017', '11/06/2017']]",/Restaurant_Review-g188590-d806369-Reviews-Brix-Amsterdam_North_Holland_Province.html,d806369,52.35516,4.87124
648,648,Venkel,Amsterdam,"['Healthy', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",649,4.5,$$ - $$$,61,"[['Green pleasure', 'Great salads'], ['12/09/2017', '11/08/2017']]",/Restaurant_Review-g188590-d5606373-Reviews-Venkel-Amsterdam_North_Holland_Province.html,d5606373,52.35457,4.88812
